# form	sources	reason — refused by tools/build_lexicon.py
yсүгледі	kazdict	mixed-script
yтті	kazdict	mixed-script
yшікледі	kazdict	mixed-script
yңужін	kazdict	mixed-script
z	apertium	not-cyrillic
zdf	apertium	not-cyrillic
zif	kazdict	not-cyrillic
«авеста»	kazdict	outside-alphabet:«»
«арзандату»	kazdict	outside-alphabet:«»
«ағыл-тегіл»	kazdict	outside-alphabet:«»
«аққұм»	kazdict	outside-alphabet:«»
«дубровский»-	kazdict	outside-alphabet:«»
«е»деді	kazdict	outside-alphabet:«»
«еділ-жайық»-	kazdict	outside-alphabet:«»
«елес»	kazdict	outside-alphabet:«»
«жанар»	kazdict	outside-alphabet:«»
«жанбота»-	kazdict	outside-alphabet:«»
«жандықтар»	kazdict	outside-alphabet:«»
«жігіттер	kazdict	outside-alphabet:«
«жүсіп-зылиқа»-	kazdict	outside-alphabet:«»
«жәрдем»	kazdict	outside-alphabet:«»
«имампос»	kazdict	outside-alphabet:«»
«иузи-раушан»-	kazdict	outside-alphabet:«»
«күз»-	kazdict	outside-alphabet:«»
«күзем»	kazdict	outside-alphabet:«»
«күзен»	kazdict	outside-alphabet:«»
«көжекбайға»-	kazdict	outside-alphabet:«»
«көзжақсым»-	kazdict	outside-alphabet:«»
«көкқаулан»-	kazdict	outside-alphabet:«»
«көрұғлы»-	kazdict	outside-alphabet:«»
«медғат-қасым»-	kazdict	outside-alphabet:«»
«москвич»	kazdict	outside-alphabet:«»
«ол»	kazdict	outside-alphabet:«»
«сана»	kazdict	outside-alphabet:«»
«сап-сап	kazdict	outside-alphabet:«
«сират-ул-мустақим»	kazdict	outside-alphabet:«»
«сәуле»	kazdict	outside-alphabet:«»
«талап»	kazdict	outside-alphabet:«»
«таң»	kazdict	outside-alphabet:«»
«тиянағым	kazdict	outside-alphabet:«
«топайкөк»-	kazdict	outside-alphabet:«»
«тәржіман»	kazdict	outside-alphabet:«»
«уа	kazdict	outside-alphabet:«
«шура-и-улема»	kazdict	outside-alphabet:«»
«шырайлым»-	kazdict	outside-alphabet:«»
«юманите»-	kazdict	outside-alphabet:«»
«я	kazdict	outside-alphabet:«
«қарагөз»-	kazdict	outside-alphabet:«»
«қаратаяқ»-	kazdict	outside-alphabet:«»
«қараша	kazdict	outside-alphabet:«
«қозыкөш»-	kazdict	outside-alphabet:«»
«қуаныш	kazdict	outside-alphabet:«
«үміт»	kazdict	outside-alphabet:«»
«өлсем	kazdict	outside-alphabet:«
ýар	kazdict	outside-alphabet:ý
ýасл	kazdict	outside-alphabet:ý
ýахданийат	kazdict	outside-alphabet:ý
ýаһм	kazdict	outside-alphabet:ý
ýирд	kazdict	outside-alphabet:ý
ýисал	kazdict	outside-alphabet:ý
ýужуд	kazdict	outside-alphabet:ý
ýужудийат	kazdict	outside-alphabet:ý
ýәли	kazdict	outside-alphabet:ý
əріпті-санды	apertium	outside-alphabet:ə
а.	apertium	outside-alphabet:.
а`за	kazdict	outside-alphabet:`
а`заз	kazdict	outside-alphabet:`
а`ина	kazdict	outside-alphabet:`
а`ла	kazdict	outside-alphabet:`
а`ламу	kazdict	outside-alphabet:`
а`табарлық	kazdict	outside-alphabet:`
а`тазара	kazdict	outside-alphabet:`
абай%	apertium	outside-alphabet:%
абақоңыр//әбеқоңыр	kazdict	outside-alphabet:/
абдали	name	translit-of:әбдәлі
абдибай	name	translit-of:әбдібай
абдибек	name	translit-of:әбдібек
абдигали	name	translit-of:әбдіғали
абдигаппар	name	translit-of:әбдіғаппар
абдиева	name	translit-of:әбдиева
абдижаппар	name	translit-of:әбдіжаппар
абдикадыр	name	translit-of:әбдіқадыр
абдилдин	name	translit-of:әбділдин
абдиманап	name	translit-of:әбдіманап
абдинур	name	translit-of:әбдінұр
абдиразак	name	translit-of:әбдіразақ
абдирахман	name	translit-of:абдірахман
абдисалам	name	translit-of:әбдісалам
абдисамат	name	translit-of:әбдісамат
абдисаттар	name	translit-of:әбдісаттар
абдихамит	name	translit-of:әбдіхамит
абдихан	name	translit-of:әбдіхан
абдишев	name	translit-of:әбдішев
абдыкадыр	name	translit-of:абдықадыр
абетай	kazdict	translit-of:әбетай
абетай//әбетай	kazdict	outside-alphabet:/
абжылан//апжылан//әпжылап	kazdict	outside-alphabet:/
абзел	apertium,kazdict	translit-of:әбзел
абилдаев	name	translit-of:әбілдаев
абилкасым	name	translit-of:әбілқасым
абилтаев	name	translit-of:әбілтаев
абишов	name	translit-of:әбішов
абылкасым	name	translit-of:абылқасым
абын	baseline,kazdict	translit-of:абың
абыройын%	apertium	outside-alphabet:%
авантюрист%	apertium	outside-alphabet:%
авг.	apertium	outside-alphabet:.
автокөлік%	apertium	outside-alphabet:%
автология-	kazdict	edge-punctuation
агабек	name	translit-of:ағабек
агима	name	translit-of:ағима
аглан	name	translit-of:ағлан
адалзада//алалзада	kazdict	outside-alphabet:/
адам%	apertium	outside-alphabet:%
адеми	name	translit-of:әдемі
адилгазы	name	translit-of:әділғазы
адилгерей	name	translit-of:әділгерей
адилжан	name	translit-of:әділжан
адыра%	apertium	outside-alphabet:%
адыран	kazdict	translit-of:адыраң
ажигалиев	name	translit-of:әжіғалиев
ажма`ин	kazdict	outside-alphabet:`
ажьі-	kazdict	edge-punctuation
азап%	apertium	outside-alphabet:%
азат%	apertium	outside-alphabet:%
аздап%	apertium	outside-alphabet:%
азимжан	name	translit-of:әзімжан
азирбаев	name	translit-of:әзірбаев
азу%	apertium	outside-alphabet:%
азулы%	apertium	outside-alphabet:%
азына//азна	kazdict	outside-alphabet:/
азғырушы%	apertium	outside-alphabet:%
ай%	apertium	outside-alphabet:%
айбалта-	kazdict	edge-punctuation
айгали	name	translit-of:айғали
айганша	baseline,name	translit-of:айғанша
айдап%	apertium	outside-alphabet:%
айжаркын	name	translit-of:айжарқын
айжарык	name	translit-of:айжарық
айжулдыз	name	translit-of:айжұлдыз
айкумис	name	translit-of:айкүміс
айкын	name	translit-of:айқын
айландыру%	apertium	outside-alphabet:%
аймаққа%	apertium	outside-alphabet:%
аймаңдай-	kazdict	edge-punctuation
аймурат	name	translit-of:аймұрат
айнагул	baseline,name	translit-of:айнагүл
айнакулов	name	translit-of:айнақұлов
айнала%	apertium	outside-alphabet:%
айналаны%	apertium	outside-alphabet:%
айналдыра%	apertium	outside-alphabet:%
айналып%	apertium	outside-alphabet:%
айнур	baseline,name	translit-of:айнұр
айсауле	apertium,name	translit-of:айсәуле
айт-	kazdict	edge-punctuation
айта%	apertium	outside-alphabet:%
айтгул	name	translit-of:айтгүл
айткали	name	translit-of:айтқали
айтмурат	name	translit-of:айтмұрат
айтмухамед	name	translit-of:айтмұхамед
айтып%	apertium	outside-alphabet:%
айтқанды%	apertium	outside-alphabet:%
айтқаны%	apertium	outside-alphabet:%
айтқанын%	apertium	outside-alphabet:%
айуанаттар%	apertium	outside-alphabet:%
айшабиби	name	translit-of:айшабибі
айшуаков	name	translit-of:айшуақов
айымгул	name	translit-of:айымгүл
айып%	apertium	outside-alphabet:%
айып-	kazdict	edge-punctuation
айыппұл%	apertium	outside-alphabet:%
айыптау%	apertium	outside-alphabet:%
айырылып%	apertium	outside-alphabet:%
айғайлап%	apertium	outside-alphabet:%
айқай%	apertium	outside-alphabet:%
айқайлап%	apertium	outside-alphabet:%
айқасып%	apertium	outside-alphabet:%
айқын%	apertium	outside-alphabet:%
акад.	apertium	outside-alphabet:.
акайша	name	translit-of:ақайша
акас	kazdict	translit-of:ақас
акат	name	translit-of:ақат
акберди	name	translit-of:ақберді
акбокен	name	translit-of:ақбөкен
акболат	name	translit-of:ақболат
акгул	name	translit-of:ақгүл
акедил	name	translit-of:ақеділ
акежан	name	translit-of:әкежан
акжаркын	name	translit-of:ақжарқын
акжибек	name	translit-of:ақжібек
акжолтай	name	translit-of:ақжолтай
акжурек	name	translit-of:ақжүрек
акканат	name	translit-of:аққанат
аклима	name	translit-of:ақлима
акназар	name	translit-of:ақназар
акниет	name	translit-of:ақниет
аксамал	name	translit-of:ақсамал
аксуйрик	name	translit-of:ақсүйрік
актай	name	translit-of:ақтай
актилек	name	translit-of:ақтілек
акцион.	apertium	outside-alphabet:.
акционерлік%	apertium	outside-alphabet:%
акшабак	name	translit-of:ақшабақ
акылжан	name	translit-of:ақылжан
акырыс	name	translit-of:ақырыс
акысыз	apertium	translit-of:ақысыз
алайдар	name	translit-of:әлайдар
алаша-	kazdict	edge-punctuation
алақан%	apertium	outside-alphabet:%
алақолсы3	kazdict	outside-alphabet:3
алдажар//алдамжар	kazdict	outside-alphabet:/
алданып%	apertium	outside-alphabet:%
алдап%	apertium	outside-alphabet:%
алдар%	apertium	outside-alphabet:%
алдын%	apertium	outside-alphabet:%
алдын-ала%	apertium	outside-alphabet:%
алдында%	apertium	outside-alphabet:%
алдыңғы%	apertium	outside-alphabet:%
алжуаз	kazdict	translit-of:әлжуаз
алиакпар	name	translit-of:әлиакпар
алиаскар	name	translit-of:әлиасқар
алипа	name	translit-of:әлипа
алла[-ның	kazdict	outside-alphabet:[
аллаһ%	apertium	outside-alphabet:%
аллитерация-	kazdict	edge-punctuation
алма%	apertium	outside-alphabet:%
алмаганбетов	name	translit-of:алмағанбетов
алмас%	apertium	outside-alphabet:%
алмастырып%	apertium	outside-alphabet:%
алмира	name	translit-of:әлмира
алмұрт%	apertium	outside-alphabet:%
алогизм-	kazdict	edge-punctuation
алпеш	name	translit-of:әлпеш
алты%	apertium	outside-alphabet:%
алтыбақан-	kazdict	edge-punctuation
алтын%	apertium	outside-alphabet:%
алтынкул	name	translit-of:алтынкүл
алфия	name	translit-of:әлфия
алым-салық%	apertium	outside-alphabet:%
алына%	apertium	outside-alphabet:%
алып%	apertium	outside-alphabet:%
алып-сатумен%	apertium	outside-alphabet:%
алыстан%	apertium	outside-alphabet:%
аль%	apertium	outside-alphabet:%
алюмосиликатты%	apertium	outside-alphabet:%
алғаш%	apertium	outside-alphabet:%
алғы//алғи	kazdict	outside-alphabet:/
алғыс%	apertium	outside-alphabet:%
алқалы%	apertium	outside-alphabet:%
алқынды%	apertium	outside-alphabet:%
амал[қане	kazdict	outside-alphabet:[
аман%	apertium	outside-alphabet:%
амангелди	name	translit-of:амангелді
амантур	name	translit-of:амантұр
амен	name	translit-of:әмен
аминат	name	translit-of:әминат
амирбек	name	translit-of:әмірбек
амнести%	apertium	outside-alphabet:%
ана%	apertium	outside-alphabet:%
аналық%	apertium	outside-alphabet:%
анаргул	name	translit-of:анаргүл
анаркул	name	translit-of:анарқұл
анис%	apertium	outside-alphabet:%
ансат	kazdict,name	translit-of:аңсат
ант%	apertium	outside-alphabet:%
антигуа%	apertium	outside-alphabet:%
антиль%	apertium	outside-alphabet:%
антоним-	kazdict	edge-punctuation
ануархан	name	translit-of:әнуархан
анық%	apertium	outside-alphabet:%
анықтап%	apertium	outside-alphabet:%
апарып%	apertium	outside-alphabet:%
апжылан	kazdict	translit-of:әпжылан
апке	kazdict	translit-of:әпке
апо%	apertium	outside-alphabet:%
апр.	apertium	outside-alphabet:.
апсана	kazdict	translit-of:әпсана
апта%	apertium	outside-alphabet:%
ара%	apertium	outside-alphabet:%
аралап%	apertium	outside-alphabet:%
аралық%	apertium	outside-alphabet:%
арам%	apertium	outside-alphabet:%
арамен%	apertium	outside-alphabet:%
арамеялық%	apertium	outside-alphabet:%
ардакты	name	translit-of:ардақты
аребек	kazdict	translit-of:әребек
арипхан	name	translit-of:әріпхан
ариғ/арығ	kazdict	outside-alphabet:/
аркук	apertium	translit-of:арқұқ
арнур	baseline	translit-of:арнұр
арс%	apertium	outside-alphabet:%
арт%	apertium	outside-alphabet:%
артыкбай	name	translit-of:артықбай
артып%	apertium	outside-alphabet:%
артығырақ%	apertium	outside-alphabet:%
артық%	apertium	outside-alphabet:%
артқы%	apertium	outside-alphabet:%
аруана3	kazdict	outside-alphabet:3
архетиптер-	kazdict	edge-punctuation
аршагул	name	translit-of:аршагүл
арыз%	apertium	outside-alphabet:%
арыздасу-	kazdict	edge-punctuation
арыс-	kazdict	edge-punctuation
арыстангали	name	translit-of:арыстанғали
арғы%	apertium	outside-alphabet:%
арғын-	kazdict	edge-punctuation
арқа%	apertium	outside-alphabet:%
арқа1	kazdict	outside-alphabet:1
арқа2	kazdict	outside-alphabet:2
арқанды%	apertium	outside-alphabet:%
арқау%	apertium	outside-alphabet:%
ас%	apertium	outside-alphabet:%
ас`ат	kazdict	outside-alphabet:`
аса%	apertium	outside-alphabet:%
асел	name	translit-of:әсел
асемгул	name	translit-of:әсемгүл
асемхан	name	translit-of:әсемхан
асият	name	translit-of:әсият
аскат	baseline	translit-of:асқат
аскербай	name	translit-of:әскербай
асма`и	kazdict	outside-alphabet:`
асмалдық//аспалдақ	kazdict	outside-alphabet:/
асман//асмен	kazdict	outside-alphabet:/
аспалы%	apertium	outside-alphabet:%
аспан%	apertium	outside-alphabet:%
аспет	name	translit-of:әспет
аспетте	kazdict	translit-of:әспетте
ассонанс-	kazdict	edge-punctuation
ассоциация-	kazdict	edge-punctuation
астан-кестен%	apertium	outside-alphabet:%
астын%	apertium	outside-alphabet:%
астық%	apertium	outside-alphabet:%
асулы1	kazdict	outside-alphabet:1
асфальтпен%	apertium	outside-alphabet:%
асфандияр//спандияр	kazdict	outside-alphabet:/
асыл%	apertium	outside-alphabet:%
асып%	apertium	outside-alphabet:%
асыра%	apertium	outside-alphabet:%
асыра1	kazdict	outside-alphabet:1
асырып%	apertium	outside-alphabet:%
асық%	apertium	outside-alphabet:%
асықты%	apertium	outside-alphabet:%
асқынып%	apertium	outside-alphabet:%
ат%	apertium	outside-alphabet:%
ата`ат	kazdict	outside-alphabet:`
атамурат	name	translit-of:атамұрат
атап%	apertium	outside-alphabet:%
атағын%	apertium	outside-alphabet:%
атақ%	apertium	outside-alphabet:%
атиргул	name	translit-of:әтіргүл
аттап%	apertium	outside-alphabet:%
атшабар-	kazdict	edge-punctuation
атшу	baseline,kazdict	translit-of:әтшу
атын%	apertium	outside-alphabet:%
атына%	apertium	outside-alphabet:%
атып%	apertium	outside-alphabet:%
атыс%	apertium	outside-alphabet:%
ауа%	apertium	outside-alphabet:%
ауганбай	name	translit-of:ауғанбай
аударып%	apertium	outside-alphabet:%
ауез	name	translit-of:әуез
аузы%	apertium	outside-alphabet:%
аузын%	apertium	outside-alphabet:%
аукционда%	apertium	outside-alphabet:%
аулап%	apertium	outside-alphabet:%
аулийа`и	kazdict	outside-alphabet:`
аум.	apertium	outside-alphabet:.
ауруға%	apertium	outside-alphabet:%
ауыз%	apertium	outside-alphabet:%
ауыздық-	kazdict	edge-punctuation
ауызғы%	apertium	outside-alphabet:%
ауыл%	apertium	outside-alphabet:%
ауылдық%	apertium	outside-alphabet:%
ауып%	apertium	outside-alphabet:%
ауыр%	apertium	outside-alphabet:%
ауыртпалық%	apertium	outside-alphabet:%
ауыруды%	apertium	outside-alphabet:%
ауыстырып%	apertium	outside-alphabet:%
аш%	apertium	outside-alphabet:%
ашмүке//әшмүке	kazdict	outside-alphabet:/
ашу%	apertium	outside-alphabet:%
ашуланып%	apertium	outside-alphabet:%
ашуын%	apertium	outside-alphabet:%
ашылып%	apertium	outside-alphabet:%
ашылып-ж¥мылу	kazdict	outside-alphabet:¥
ашып%	apertium	outside-alphabet:%
ашыған//ашытпа	kazdict	outside-alphabet:/
ашық%	apertium	outside-alphabet:%
ащы%	apertium	outside-alphabet:%
ащы-тұ3	kazdict	outside-alphabet:3
аю%	apertium	outside-alphabet:%
аякоз	name	translit-of:аякөз
аят-	kazdict	edge-punctuation
аяқ%	apertium	outside-alphabet:%
аяқ-киім%	apertium	outside-alphabet:%
аяқтама-	kazdict	edge-punctuation
аяқты%	apertium	outside-alphabet:%
аяқшы//жәрдемші	kazdict	outside-alphabet:/
ағаттық%	apertium	outside-alphabet:%
ағаш%	apertium	outside-alphabet:%
ағаштағы%	apertium	outside-alphabet:%
ағын%	apertium	outside-alphabet:%
ағып%	apertium	outside-alphabet:%
ағыспен%	apertium	outside-alphabet:%
ағұз/ағұж	kazdict	outside-alphabet:/
ақ%	apertium	outside-alphabet:%
ақа2//ақас	kazdict	outside-alphabet:/2
ақбала—боздақ-	kazdict	outside-alphabet:—
ақеспе-	kazdict	edge-punctuation
ақлақ-	kazdict	edge-punctuation
ақмарту-	kazdict	edge-punctuation
ақпа3	kazdict	outside-alphabet:3
ақпарат%	apertium	outside-alphabet:%
ақсай%	apertium	outside-alphabet:%
ақсап%	apertium	outside-alphabet:%
ақсон//ақсүн	kazdict	outside-alphabet:/
ақсүйек-	kazdict	edge-punctuation
ақтабан-	kazdict	edge-punctuation
ақтүү...ш	kazdict	outside-alphabet:.
ақша%	apertium	outside-alphabet:%
ақшалы%	apertium	outside-alphabet:%
ақшаға%	apertium	outside-alphabet:%
ақшыл%	apertium	outside-alphabet:%
ақыл%	apertium	outside-alphabet:%
ақылдан%	apertium	outside-alphabet:%
ақылы%	apertium	outside-alphabet:%
ақылға%	apertium	outside-alphabet:%
ақымақ%	apertium	outside-alphabet:%
ақыр%	apertium	outside-alphabet:%
ақырын%	apertium	outside-alphabet:%
ақырындай%	apertium	outside-alphabet:%
аққайың-	kazdict	edge-punctuation
аққұйрық-	kazdict	edge-punctuation
аң%	apertium	outside-alphabet:%
аңдау//аңлау	kazdict	outside-alphabet:/
аңшы-	kazdict	edge-punctuation
аңшылық-	kazdict	edge-punctuation
аңыз%	apertium	outside-alphabet:%
аңқау%	apertium	outside-alphabet:%
б.%	apertium	outside-alphabet:%.
б.з.б.	apertium	outside-alphabet:.
б.з.д.	apertium	outside-alphabet:.
б.т.	apertium	outside-alphabet:.
б.э.д.	apertium	outside-alphabet:.
бiл	apertium	mixed-script
бiр	apertium	mixed-script
бiрi	apertium	mixed-script
бiрауыздан	apertium	mixed-script
ба`да	kazdict	outside-alphabet:`
ба`зы	kazdict	outside-alphabet:`
ба`ис	kazdict	outside-alphabet:`
бабаның%	apertium	outside-alphabet:%
багай	kazdict	translit-of:бағай
багам%	apertium	outside-alphabet:%
багашар	name	translit-of:бағашар
багда	name	translit-of:бағда
багдаулет	name	translit-of:бағдәулет
багылан	name	translit-of:бағылан
бадыраң//бәдірең	kazdict	outside-alphabet:/
базила	name	translit-of:бәзила
бай%	apertium	outside-alphabet:%
байбосын//байболсын	kazdict	outside-alphabet:/
байдаулет	name	translit-of:байдәулет
байдилда	name	translit-of:байділда
байер%	apertium	outside-alphabet:%
байланыс%	apertium	outside-alphabet:%
байланған%	apertium	outside-alphabet:%
байлап%	apertium	outside-alphabet:%
байсейiтов	apertium	mixed-script
байсултан	name	translit-of:байсұлтан
байтал-	kazdict	edge-punctuation
байтемир	name	translit-of:байтемір
байырғы%	apertium	outside-alphabet:%
байғұш//байғыс	kazdict	outside-alphabet:/
байқамай%	apertium	outside-alphabet:%
байқап%	apertium	outside-alphabet:%
бакизат	baseline	translit-of:бәкизат
бакира	name	translit-of:бәкира
баккелди	name	translit-of:бақкелді
бактияр	baseline,name	translit-of:бақтияр
бактыбек	name	translit-of:бақтыбек
бактыгалиев	name	translit-of:бақтығалиев
бактылы	name	translit-of:бақтылы
бакытбек	name	translit-of:бақытбек
бакытгул	name	translit-of:бақытгүл
бал%	apertium	outside-alphabet:%
бал-б¥лда	kazdict	outside-alphabet:¥
бала%	apertium	outside-alphabet:%
балапан%	apertium	outside-alphabet:%
балауса%	apertium	outside-alphabet:%
балдыз-	kazdict	edge-punctuation
балкадиша	name	translit-of:балқадиша
балмагамбетов	name	translit-of:балмағамбетов
балпақ//балпық	kazdict	outside-alphabet:/
балташылық%	apertium	outside-alphabet:%
балтық%	apertium	outside-alphabet:%
балық%	apertium	outside-alphabet:%
балықты%	apertium	outside-alphabet:%
балқаймақ//сеппе	kazdict	outside-alphabet:/
бандан/бенден	kazdict	outside-alphabet:/
бап2	kazdict	outside-alphabet:2
бап3	kazdict	outside-alphabet:3
бапкер1	kazdict	outside-alphabet:1
бапкер2	kazdict	outside-alphabet:2
бар%	apertium	outside-alphabet:%
бардамдырақ//пардамырақ	kazdict	outside-alphabet:/
барий%	apertium	outside-alphabet:%
баркыт	name	translit-of:барқыт
барлық%	apertium	outside-alphabet:%
барылдақ%	apertium	outside-alphabet:%
барымта-	kazdict	edge-punctuation
барымташы-	kazdict	edge-punctuation
барып%	apertium	outside-alphabet:%
бас%	apertium	outside-alphabet:%
баспаға%	apertium	outside-alphabet:%
бассы3	kazdict	outside-alphabet:3
бассы3дық	kazdict	outside-alphabet:3
бассыздық%	apertium	outside-alphabet:%
бассүйексі3дер	kazdict	outside-alphabet:3
баста=	kazdict	outside-alphabet:=
бастамашылық%	apertium	outside-alphabet:%
бастапқы%	apertium	outside-alphabet:%
бастау3	kazdict	outside-alphabet:3
бастаңғьі-	kazdict	edge-punctuation
басты%	apertium	outside-alphabet:%
бастырып%	apertium	outside-alphabet:%
бастық1	kazdict	outside-alphabet:1
бастықсын=	kazdict	outside-alphabet:=
басын%	apertium	outside-alphabet:%
басып%	apertium	outside-alphabet:%
басқа%	apertium	outside-alphabet:%
басқарып%	apertium	outside-alphabet:%
басқаша%	apertium	outside-alphabet:%
бата%	apertium	outside-alphabet:%
баталасу-	kazdict	edge-punctuation
батес	baseline,name	translit-of:бәтес
батир	name	translit-of:бәтір
батыл%	apertium	outside-alphabet:%
батыркан	name	translit-of:батырқан
батырлар%	apertium	outside-alphabet:%
батыс%	apertium	outside-alphabet:%
батысқа%	apertium	outside-alphabet:%
бауалақ//бағалақ	kazdict	outside-alphabet:/
башай//бақай	kazdict	outside-alphabet:/
баян%	apertium	outside-alphabet:%
баянсулу	name	translit-of:баянсұлу
баға%	apertium	outside-alphabet:%
бағана5	kazdict	outside-alphabet:5
бағаны%	apertium	outside-alphabet:%
бағдарла3	kazdict	outside-alphabet:3
бағдарламалық%	apertium	outside-alphabet:%
бағынбай%	apertium	outside-alphabet:%
бағындырып%	apertium	outside-alphabet:%
бағып%	apertium	outside-alphabet:%
бағыт%	apertium	outside-alphabet:%
бақанақ//сөгілме	kazdict	outside-alphabet:/
бақанақ/бақайақ	kazdict	outside-alphabet:/
бақанұқ/бақайұқ	kazdict	outside-alphabet:/
бақса-қушыпас//бақсы-қушшы	kazdict	outside-alphabet:/
бақтажар-	kazdict	edge-punctuation
бақташы%	apertium	outside-alphabet:%
бақылау%	apertium	outside-alphabet:%
бақылау-өткізу%	apertium	outside-alphabet:%
бақыршы-	kazdict	edge-punctuation
бақытын%	apertium	outside-alphabet:%
бақытқа%	apertium	outside-alphabet:%
бегимай	name	translit-of:бегімай
беделін%	apertium	outside-alphabet:%
бедеу-	kazdict	edge-punctuation
бейiмбет	baseline	mixed-script
бейапа//биапа	kazdict	outside-alphabet:/
бейбитгул	name	translit-of:бейбітгүл
бейбитжан	name	translit-of:бейбітжан
бейсенкул	name	translit-of:бейсенкүл
бейшора//бейчора	kazdict	outside-alphabet:/
бейқұт//бейғүт	kazdict	outside-alphabet:/
бек/бики	kazdict	outside-alphabet:/
бекадил	name	translit-of:бекәділ
беккали	name	translit-of:бекқали
беккожа	apertium	translit-of:бекқожа
бекмурат	name	translit-of:бекмұрат
бекмухамбет	name	translit-of:бекмұхамбет
бекмухамбетов	name	translit-of:бекмұхамбетов
бекмуханбет	name	translit-of:бекмұханбет
бексултан	name	translit-of:бексұлтан
бектемис	name	translit-of:бектеміс
бектурсын	name	translit-of:бектұрсын
бекулан	name	translit-of:бекұлан
бекіліп%	apertium	outside-alphabet:%
бекітіліп%	apertium	outside-alphabet:%
бекітіп%	apertium	outside-alphabet:%
бел%	apertium	outside-alphabet:%
белбеу%	apertium	outside-alphabet:%
белгибай	name	translit-of:белгібай
белгі%	apertium	outside-alphabet:%
белгілі%	apertium	outside-alphabet:%
белдеу-	kazdict	edge-punctuation
белдік-	kazdict	edge-punctuation
белсенді%	apertium	outside-alphabet:%
бензин%	apertium	outside-alphabet:%
бергек-	kazdict	edge-punctuation
берикбай	name	translit-of:берікбай
берикболов	name	translit-of:берікболов
бериков	name	translit-of:беріков
беркілеу//беркігу	kazdict	outside-alphabet:/
бес%	apertium	outside-alphabet:%
бескем//бешкем	kazdict	outside-alphabet:/
бет%	apertium	outside-alphabet:%
бетон%	apertium	outside-alphabet:%
бетін%	apertium	outside-alphabet:%
би%	apertium	outside-alphabet:%
би-	kazdict	edge-punctuation
би`адид	kazdict	outside-alphabet:`
би`илим	kazdict	outside-alphabet:`
би`узур	kazdict	outside-alphabet:`
бибигул	name	translit-of:бибігүл
бибижамал	apertium,name	translit-of:бибіжамал
бибинур	baseline,name	translit-of:бибінұр
бидаулет	kazdict	translit-of:бидәулет
бизнес%	apertium	outside-alphabet:%
билетсіз%	apertium	outside-alphabet:%
бимурат	name	translit-of:бимұрат
бинопа//бейопа	kazdict	outside-alphabet:/
биол.	apertium	outside-alphabet:.
биологиялық%	apertium	outside-alphabet:%
биржа%	apertium	outside-alphabet:%
бирлес	name	translit-of:бірлес
бирманов	name	translit-of:бірманов
биікт.	apertium	outside-alphabet:.
божей	baseline	translit-of:бөжей
бой%	apertium	outside-alphabet:%
бойды%	apertium	outside-alphabet:%
бокес	kazdict	translit-of:бөкес
болдык	name	translit-of:болдық
болдыру//болғызу	kazdict	outside-alphabet:/
болеген	name	translit-of:бөлеген
болжам%	apertium	outside-alphabet:%
болып%	apertium	outside-alphabet:%
болыс-	kazdict	edge-punctuation
бопежан	name	translit-of:бөпежан
борай%	apertium	outside-alphabet:%
борбас//борпас	kazdict	outside-alphabet:/
борибек	name	translit-of:бөрібек
борсықтың%	apertium	outside-alphabet:%
боруссия%	apertium	outside-alphabet:%
боршау/боршы	kazdict	outside-alphabet:/
бос%	apertium	outside-alphabet:%
босанып%	apertium	outside-alphabet:%
босап%	apertium	outside-alphabet:%
ботакоз	name	translit-of:ботакөз
боғажам//боғжам//боғжама//боғжамай	kazdict	length
боқырау-	kazdict	edge-punctuation
бригад//бригат	kazdict	outside-alphabet:/
бритиш%	apertium	outside-alphabet:%
бу%	apertium	outside-alphabet:%
буа//бауа	kazdict	outside-alphabet:/
буби	kazdict	translit-of:бүбі
булгын	name	translit-of:бұлғын
бумен%	apertium	outside-alphabet:%
буркина%	apertium	outside-alphabet:%
бурт	kazdict	translit-of:бұрт
бурыш	name	translit-of:бұрыш
бурьілтай-	kazdict	edge-punctuation
бутан`ан	kazdict	outside-alphabet:`
бутил	apertium	translit-of:бүтіл
бухгалтерлік%	apertium	outside-alphabet:%
буыз//бұзы	kazdict	outside-alphabet:/
буызы//пуызы	kazdict	outside-alphabet:/
буыны%	apertium	outside-alphabet:%
буэнос%	apertium	outside-alphabet:%
буға%	apertium	outside-alphabet:%
быжы‘	kazdict	outside-alphabet:‘
былш%	apertium	outside-alphabet:%
бық‘	kazdict	outside-alphabet:‘
білезік-	kazdict	edge-punctuation
бір%	apertium	outside-alphabet:%
бірге%	apertium	outside-alphabet:%
бірдей%	apertium	outside-alphabet:%
бірлескен%	apertium	outside-alphabet:%
біртұқымды%	apertium	outside-alphabet:%
біріккен%	apertium	outside-alphabet:%
біріктіріп%	apertium	outside-alphabet:%
бірқанша//бірқаншама	kazdict	outside-alphabet:/
бітеп%	apertium	outside-alphabet:%
бүйір%	apertium	outside-alphabet:%
бүкпелеу-	kazdict	edge-punctuation
бүлдiрушілік	apertium	mixed-script
бүлдірге-	kazdict	edge-punctuation
бүлдіріп%	apertium	outside-alphabet:%
бүлік%	apertium	outside-alphabet:%
бүркітші-	kazdict	edge-punctuation
бүріктір‘	kazdict	outside-alphabet:‘
бүткіл//бүтіл	kazdict	outside-alphabet:/
бүтін%	apertium	outside-alphabet:%
бұ3а-жар	kazdict	outside-alphabet:3
бұ3а-жару	kazdict	outside-alphabet:3
бұ3ау	kazdict	outside-alphabet:3
