# form	sources — set aside by tools/build_lexicon.py, out of scope for a
# single-word speller and kept for whatever handles phrases later
атаңның қонақ ұлы	kazdict
атаңның құны бар ма	kazdict
атбайлар іі	kazdict
атбайлар ііі	kazdict
атбас балық	kazdict
атбас жамбы	kazdict
атбас талшын	kazdict
атбас қант	kazdict
атбас: атбас бұршақ	kazdict
атжал 1	kazdict
атжал 2	kazdict
атжал қып төгу	kazdict
атжалмандай шұлғу	kazdict
ати: ати жөнелді	kazdict
атимузнаба уа раббу ғафур	kazdict
аткаштан: аткаштан тұқымдасы	kazdict
аткөпір болды	kazdict
аткөпір қылды	kazdict
аткөпір қылып алды	kazdict
атлант мұхитының акуласы	kazdict
атлас 1	kazdict
атлас 2	kazdict
атлас i	kazdict
атлас ii	kazdict
атлас iii	kazdict
атлас көйлек	kazdict
атлас шапан	kazdict
атмайы қайтты	kazdict
атмайын берді	kazdict
атмосфера газдары	kazdict
атмосфера суы	kazdict
атмосфера шебі	kazdict
атмосфера электрлігі	kazdict
атмосфера қабаты	kazdict
атмосферадағы айналым	kazdict
атмосферадағы алмасым	kazdict
атмосферадағы температура инверсиясы	kazdict
атмосфералық акустика	kazdict
атмосфералық ауа	kazdict
атмосфералық жауын-шашын	kazdict
атмосфералық коррозия	kazdict
атмосфералық ластану	kazdict
атмосфералық нөсер	kazdict
атмосфералық оптика	kazdict
атмосфералық су	kazdict
атмосфералық тосап	kazdict
атмосфералық қысым	kazdict
атмосфералық өзгеру	kazdict
атмосфераны барлап білу	kazdict
атмосфераны қорғау	kazdict
атой берді	kazdict
атой салды	kazdict
атой салу	kazdict
атой: атой салды	kazdict
атойға басты	kazdict
атом артиллериясы	kazdict
атом бомбасы	kazdict
атом кемесі	kazdict
атом массасы	kazdict
атом радиусы	kazdict
атом сағаты	kazdict
атом снаряды	kazdict
атом сынағы	kazdict
атом сүңгуір қайығы	kazdict
атом физикасы	kazdict
атом электр стансысы	kazdict
атом ядросы	kazdict
атом ғасыры	kazdict
атом ғасыры [дәуірі	kazdict
атом қаруы	kazdict
атом қаруынан қорғау	kazdict
атом қуаты	kazdict
атом өнеркәсібі	kazdict
атомарлық факт	kazdict
атомдық батарея	kazdict
атомдық заряд	kazdict
атомдық масса	kazdict
атомдық нөмір	kazdict
атомдық спектр	kazdict
атомдық тор	kazdict
атомдық тосқауыл	kazdict
атомдық энергия	kazdict
атомдық қозғалтқыш	kazdict
атомсыз аймақ	kazdict
атпа i	kazdict
атпа ii	kazdict
атпа атты	kazdict
атпа бұлақ	kazdict
атпа бұтақша	kazdict
атпа құмжыланы	kazdict
атпаегінге сушығаратын қарапайым шығыр. «атпа атып	kazdict
атпал азамат	kazdict
атпал қой	kazdict
атпас таң	kazdict
атрибут і	kazdict
атрибут іі	kazdict
атрибуттық қатынас	kazdict
атрибуция теориясы	kazdict
атрибуция іі	kazdict
атрибуцияның шекті қатесі	kazdict
атса - оғы	kazdict
атса оғы	kazdict
атса – мылтығы	kazdict
атсоқты болды	kazdict
атсыз i	kazdict
атсыз ii	kazdict
атсыз і	kazdict
атсыз іі	kazdict
атсүмек болды	kazdict
атта /47	kazdict
атта жал	kazdict
аттай бір жыл	kazdict
аттай желді	kazdict
аттай желу	kazdict
аттай мінді	kazdict
аттай тулау	kazdict
аттай шұлғу	kazdict
аттай і	kazdict
аттай қалап	kazdict
аттай құрдас	kazdict
аттам жер	kazdict
аттам: адым аттам жер	kazdict
аттама і	kazdict
аттама іі	kazdict
аттан /90	kazdict
аттан i	kazdict
аттан ii	kazdict
аттан жығылды	kazdict
аттан жығылып тұрғандай	kazdict
аттан салды	kazdict
аттан түспеді	kazdict
аттан түссе де үзеңгіден түс-кісі келмеу	kazdict
аттан түсті	kazdict
аттан құлағандай болу	kazdict
аттан құрды	kazdict
аттанар жақ	kazdict
аттанып кету	kazdict
аттанға айғай қосты	kazdict
аттанға шапты	kazdict
аттап кете алмады	kazdict
аттап кетті	kazdict
аттап түсті	kazdict
аттап түсу	kazdict
аттап шалу	kazdict
аттап шықпады	kazdict
аттап өтті	kazdict
аттарақ і	kazdict
аттарақ іі	kazdict
аттарды шығару	kazdict
аттардың егелік жүйесі	kazdict
аттары ауыздықпен алысты	kazdict
аттары бәйгіден келгендей	kazdict
аттас зарядтар	kazdict
аттас сөздер	kazdict
аттау i	kazdict
аттау ii	kazdict
аттау і	kazdict
аттау іі	kazdict
аттауыш: аттауыш алу	kazdict
атты азықтандыру	kazdict
атты арбап	kazdict
атты ауыздықтап ұстап	kazdict
атты жүргізу	kazdict
атты майламай беру	kazdict
атты түзеу	kazdict
атты іі	kazdict
атты қатыру	kazdict
атты қосарға алды	kazdict
атты үйрету	kazdict
атты әскер	kazdict
аттының аяғын	kazdict
аттыға еріп	kazdict
аттыға жол	kazdict
аттыға сөз	kazdict
аттыға қарап	kazdict
аттық і	kazdict
аттық іі	kazdict
аттық ііі	kazdict
аттың алдын бермеді	kazdict
аттың артық қуаты	kazdict
аттың басын жіберді	kazdict
аттың басын тартпады	kazdict
аттың басын түзеді	kazdict
аттың басын қоя берді	kazdict
аттың дүбіріндей	kazdict
аттың жалы	kazdict
аттың кері қарай қозғалуы	kazdict
аттың көнбеуі	kazdict
аттың лақап аты	kazdict
аттың маймақтығы	kazdict
аттың майына толмады	kazdict
аттың майына толмау	kazdict
аттың нақты жаққа қозғалуы	kazdict
аттың тағасындай	kazdict
аттың тағасындай иілу	kazdict
аттың түсі	kazdict
аттың тұсарынан	kazdict
аттың қара қапталынан	kazdict
аттың құлағында ойнайды	kazdict
ату iv	kazdict
ату артықшылығы	kazdict
ату жазасы	kazdict
ату жазасына бұйырды	kazdict
ату нақтылығы	kazdict
ату секторы	kazdict
ату і	kazdict
ату іі	kazdict
ату ііі	kazdict
атудағы сағым	kazdict
атуды кідірту	kazdict
атуды түзеу	kazdict
атушы і	kazdict
атша тулады	kazdict
атша шапты	kazdict
атшалмандай шұлғу	kazdict
атшаптырым алыс	kazdict
атшаптырым жер	kazdict
аты [атағы	kazdict
аты [исі	kazdict
аты арық	kazdict
аты аталды	kazdict
аты аталмады	kazdict
аты атану	kazdict
аты аян	kazdict
аты аңызға айналды	kazdict
аты бар да	kazdict
аты болдырды	kazdict
аты дардай	kazdict
аты жаман ауру	kazdict
аты жер жарды	kazdict
аты жоғалды	kazdict
аты жоқ	kazdict
аты жоқ саусақ	kazdict
аты жоқ қол	kazdict
аты келді	kazdict
аты теріс	kazdict
аты тұрмақ	kazdict
аты шулы	kazdict
аты шыға бастады	kazdict
аты шықты	kazdict
аты қалды	kazdict
аты қатар	kazdict
аты әйгілі	kazdict
аты өлмейді	kazdict
аты өшкір	kazdict
аты өшті	kazdict
аты-жөні жоқ	kazdict
аты-жөнін сұрады	kazdict
атыз тарту	kazdict
атыз і	kazdict
атыл /52	kazdict
атым i	kazdict
атым ii	kazdict
атым і	kazdict
атым іі	kazdict
атым құрысын	kazdict
атым құрысын [жерге кірсін	kazdict
атым-ақ екен	kazdict
атымды басқа де	kazdict
атымды басқа қой	kazdict
атымды жер	kazdict
атымен жоқ	kazdict
атымның сыры өзіме мәлім	kazdict
атымтай жомарт	kazdict
атымтай жомарт секілді атағым жұртқа білінсе	kazdict
атымтайдай мырза	kazdict
атымы келмеді	kazdict
атымы келмеу	kazdict
атын алтынмен жазды	kazdict
атын атап	kazdict
атын аударып алды	kazdict
атын аузына алмады	kazdict
атын жамылды	kazdict
атын жоймады	kazdict
атын көк тер қылды	kazdict
атын сатты	kazdict
атын түсіп берді	kazdict
атына жаздырды	kazdict
атына кір келтірді	kazdict
атына тұрман болсам	kazdict
атына шаң жуытпады	kazdict
атына қамшы басты	kazdict
атына қанық	kazdict
атына қанықпын	kazdict
атына қонды	kazdict
атынан түспей терді	kazdict
атының басын алып жүре алмады	kazdict
атының басын бұрды	kazdict
атының басын тартты	kazdict
атының белін тартты	kazdict
атып жібергендей	kazdict
атып жіберді	kazdict
атып кел	kazdict
атып түрегелді	kazdict
атып тұрды	kazdict
атып ұрып тастау	kazdict
атыр: көрер таңды көзімен атырды	kazdict
атырап уа жануб	kazdict
атырап і	kazdict
атырап іі	kazdict
атырау іі	kazdict
атыраулық көлдер	kazdict
атыраулық шашылымдар	kazdict
атыраулық шөгінділер	kazdict
атыраулық: атыраулық жазық	kazdict
атыс алаңы	kazdict
атыс бекінісі	kazdict
атыс жасады	kazdict
атыс жолағы	kazdict
атыс жүйесі	kazdict
атыс ойығы	kazdict
атыс позициясы	kazdict
атыс режімі	kazdict
атыс секторы	kazdict
атыс толымы	kazdict
атыс толқыны	kazdict
атыс түбегі	kazdict
атыс шабуылы	kazdict
атыс шебі	kazdict
атыс қаруын қолдану және пайдалану	kazdict
атыс ұясы	kazdict
атысты ашу шебі	kazdict
атысты түзету посты	kazdict
атысты ұйымдастыру	kazdict
атыстың кешеуілдеуі	kazdict
атыстың қосымша секторы	kazdict
атысқа түсу	kazdict
атық арып	kazdict
атық і	kazdict
атық іі	kazdict
атың арып тулақ болсын	kazdict
атың арық	kazdict
атың жаңа жетті ме	kazdict
атың өшкір	kazdict
атыңыз бәйгелі болсын	kazdict
атқа жем түсті	kazdict
атқа жеңіл телпекбай	kazdict
атқа жеңіл құдаша	kazdict
атқа ие болды	kazdict
атқа мінген	kazdict
атқа мінді	kazdict
атқа мінер той	kazdict
атқа мінерлер	kazdict
атқа шапты	kazdict
атқа қамшы басты	kazdict
атқа қатысты дөрекілік	kazdict
атқа қонды	kazdict
атқа қондырды	kazdict
атқамінер адам	kazdict
атқан оғы айнымайды	kazdict
атқан оқтай	kazdict
атқан оқтай бұлдырау	kazdict
атқан оқтай екпін	kazdict
атқан оқтай жылысу	kazdict
атқан оқтай зымырау	kazdict
атқан оқтай зырқырау	kazdict
атқан оқтай от шығару	kazdict
атқан оқтай тура тарту	kazdict
атқан оқтай түйілу	kazdict
атқан оқтай қарғыс	kazdict
атқан танша жайнады	kazdict
атқан таңдай	kazdict
атқан таңдай аппақ	kazdict
атқан таңдай жарқ ету	kazdict
атқан таңдай көркею	kazdict
атқан таңдай нұр шашу	kazdict
атқан таңша жайнау	kazdict
атқан қалпақтай	kazdict
атқару комитеті	kazdict
атқару мерзімінің ескіруі	kazdict
атқару әкімшілігі	kazdict
атқарушы билік	kazdict
атқарушы макрокоманда	kazdict
атқарушы орган	kazdict
атқарушы сызбалар	kazdict
атқарушылық жазбасы	kazdict
атқарушылық құжаттары	kazdict
атқарылатын файл	kazdict
атқарым баспалдақтары	kazdict
атқарымдық сала	kazdict
атқарымдық шегерім	kazdict
атқарымдық-құндық: атқарымдық-құндық талдау	kazdict
атқарымдық-ұйымдық: атқарымдық-ұйымдық құрылым	kazdict
атқосшылы болдың ба	kazdict
атқосшылы: атқосшылы болдың ба	kazdict
атқылау аймағы	kazdict
атқылау бұрышы	kazdict
атқыр: қарғыс атқыр	kazdict
атқыш жасушалар	kazdict
атқыштар батальоны	kazdict
атқыштар полкі	kazdict
атүсті жүріс	kazdict
атүстінде күн көрді	kazdict
атүстінде ұйықтады	kazdict
атүстінен ұйқы алған	kazdict
атұстарың өзіңе тартсын	kazdict
ау /446	kazdict
ау 4	kazdict
ау дескендей	kazdict
ау майланды	kazdict
ау майлансын	kazdict
ау салды	kazdict
ау тартты	kazdict
ау тоқыды	kazdict
ау төгу	kazdict
ау төкті	kazdict
ау уақытта	kazdict
ау шабу	kazdict
ау шапты	kazdict
ау шөгеру	kazdict
ау і	kazdict
ау қазаны	kazdict
ау қайық	kazdict
ау қапты	kazdict
ау қарады	kazdict
ау қылды	kazdict
ау құрды	kazdict
ау құру	kazdict
ау-жылым жайды	kazdict
ауа айдағыш	kazdict
ауа айналып жерге түскендей	kazdict
ауа алмасу	kazdict
ауа баптау	kazdict
ауа бассейні	kazdict
ауа бұзылды	kazdict
ауа дивергенциясы	kazdict
ауа жайлы болу	kazdict
ауа жайылды	kazdict
ауа жолдары	kazdict
ауа жұтты	kazdict
ауа кедергісі	kazdict
ауа кемесі	kazdict
ауа көпіршігі	kazdict
ауа көшті	kazdict
ауа массасы	kazdict
ауа райы	kazdict
ауа райы жағдайы	kazdict
ауа райы картасы	kazdict
ауа райын болжау	kazdict
ауа райына әсер ету	kazdict
ауа райының ашылуы	kazdict
ауа сүзгі	kazdict
ауа температурасы	kazdict
ауа толқыны	kazdict
ауа шымылдығы	kazdict
ауа ылғалдылығы	kazdict
ауа і	kazdict
ауа қабаты	kazdict
ауа қабығы	kazdict
ауа қапшығы	kazdict
ауа қуыстары	kazdict
ауа қыздырғыш	kazdict
ауа қысымы	kazdict
ауа өткізбейтін есіктер	kazdict
ауа өткізбейтін клапандар	kazdict
ауа өткізгіш	kazdict
ауада қататын тұтқыр заттектер	kazdict
ауадай қажет	kazdict
ауалан і	kazdict
ауалан іі	kazdict
ауаланып жүр	kazdict
ауалап қалу	kazdict
ауалы сүйектер	kazdict
ауамен байыту	kazdict
ауамен жылыту	kazdict
ауамен шынықтыру	kazdict
ауан і	kazdict
ауан іі	kazdict
ауаны былғады	kazdict
ауаны ұшу	kazdict
ауаның жылылық салмағы	kazdict
ауаның қалдық шаңдылығы	kazdict
ауар-тамары жоқ	kazdict
ауасы ауыр	kazdict
аудан i	kazdict
аудан ii	kazdict
аудан басшылары	kazdict
аудан бюджеті	kazdict
аудан орталығы	kazdict
аудан орталығы /2	kazdict
аудан і	kazdict
аудан іі	kazdict
аудан әкімі	kazdict
аудандық газет	kazdict
аудандық кеңес	kazdict
аудар /40	kazdict
аудар i	kazdict
аудар і	kazdict
аудар іі	kazdict
аудара қарап	kazdict
аудара қарап ақтара тексерді	kazdict
аударма бас етік	kazdict
аударма вексель	kazdict
аударма операциялары	kazdict
аударма сөздік	kazdict
аудармалы егін	kazdict
аудармалы календарь	kazdict
аударт і	kazdict
аудару уақыты	kazdict
аударыл іі	kazdict
аударыла көшті	kazdict
аударылу і	kazdict
аударылып қону	kazdict
аударылған қайықтай	kazdict
аударыспақ заман	kazdict
аударыспақ ойнады	kazdict
аударғыш і	kazdict
аудио және бейнеақпараттар тасымалдағыштарды техникалық бақылау құралдары	kazdict
аудио – оқыту	kazdict
аудиовизуалдық құрылғы	kazdict
аудитор лицензиясы	kazdict
аудитор сертификаты	kazdict
аудиториялық кесу	kazdict
аудиторлар палатасы	kazdict
аудиторлық есеп	kazdict
аудиторлық тәуекел	kazdict
аудиторлық тәуекелдік	kazdict
аудиторлық фирма	kazdict
аудиторлық қорытынды	kazdict
аудиторлық қызмет	kazdict
аудиторлық ұйым	kazdict
аудиттелетін субъект	kazdict
аужай танытты	kazdict
аужайын аңғарды	kazdict
аужайын бақты	kazdict
аужайын таныды	kazdict
аужайын түйді	kazdict
аужал емес	kazdict
аужал етті	kazdict
аужал қылды	kazdict
аужалын түйді	kazdict
аужар i	kazdict
аужар айтты	kazdict
аужар іі	kazdict
аужарын айтты	kazdict
аузы ала	kazdict
аузы алты қарыс	kazdict
аузы антық	kazdict
аузы аппақ болды	kazdict
аузы астан босамады	kazdict
аузы асқа	kazdict
аузы ауыр	kazdict
аузы ауырлады	kazdict
аузы ашылды	kazdict
аузы ашық	kazdict
аузы аққа жарымады	kazdict
аузы аққа тиді	kazdict
аузы аққа тимегір	kazdict
аузы аңқайып қалды	kazdict
аузы аңқиды	kazdict
аузы бар	kazdict
аузы барды	kazdict
аузы бармады	kazdict
аузы барғанша	kazdict
аузы батыр	kazdict
аузы берік	kazdict
аузы босаған жоқ	kazdict
аузы буылды	kazdict
аузы бірікпеді	kazdict
аузы бітті	kazdict
аузы бұлтиды	kazdict
аузы бұртиды	kazdict
аузы даладай қан	kazdict
аузы дуалы	kazdict
аузы епті	kazdict
аузы жабылды	kazdict
аузы жабысты	kazdict
аузы жабық	kazdict
аузы жаман	kazdict
аузы жарымаған	kazdict
аузы желдей еседі	kazdict
аузы жеткен	kazdict
аузы жеңіл	kazdict
аузы жыбырлады	kazdict
аузы жұмылды	kazdict
аузы икемге келмеді	kazdict
аузы итаяқтай	kazdict
аузы иттен де салулы	kazdict
аузы кебістей болды	kazdict
аузы кепердей болды	kazdict
аузы кеппеді	kazdict
аузы кепті	kazdict
аузы күйген үріп ішеді	kazdict
аузы күйгендей	kazdict
аузы күйді	kazdict
аузы күн шығысқа қарап қалды	kazdict
аузы күншығысқа қарап қалды	kazdict
аузы көкке тиді	kazdict
аузы көкке ілінді	kazdict
аузы көпірді	kazdict
аузы майланды	kazdict
аузы майға тиді	kazdict
аузы мен тозы	kazdict
аузы ораза	kazdict
аузы пісті	kazdict
аузы пісіп отыр	kazdict
аузы салп ету	kazdict
аузы салулы	kazdict
аузы сараң	kazdict
аузы сөзден босамады	kazdict
аузы темір [зән	kazdict
аузы темір татиды	kazdict
аузы тиді	kazdict
аузы тобарсыды	kazdict
аузы толған боғауыз	kazdict
аузы тыным таппады	kazdict
аузы түкті	kazdict
аузы тұшыды	kazdict
аузы тәубеден кетпеді	kazdict
аузы уәлі	kazdict
аузы шықты	kazdict
аузы қарап отырмайды	kazdict
аузы қарыс	kazdict
аузы қимылдар	kazdict
аузы қисаймай	kazdict
аузы қисайып кететіндей	kazdict
аузы қисынды	kazdict
аузы қисық болса да	kazdict
аузы қиынды кісі	kazdict
аузы қиыспады	kazdict
аузы қысқаш	kazdict
аузы қышыды	kazdict
аузы қышқан	kazdict
аузы құрғады	kazdict
аузы-аузына жұқпады	kazdict
аузы-аузына: аузы-аузына жұқпады	kazdict
аузы-басы қан болды	kazdict
аузы-мұрны қан болды	kazdict
аузы-мұрны қисаймады	kazdict
аузы-мұрны қисаймай	kazdict
аузы-мұрнын тас қылды	kazdict
аузы-мұрнын қан етті	kazdict
аузы-мұрнынан келді	kazdict
аузы-мұрнынан шығып отыр	kazdict
аузы-мұрнынан шықты	kazdict
аузы-мұрнынан шыққанша	kazdict
аузыма қан толсын	kazdict
аузымды ашып сүйіп	kazdict
аузымды қышытпа	kazdict
аузымен [ауызбен	kazdict
аузымен айды алды	kazdict
аузымен айды алып	kazdict
аузымен арбаны ұшырады	kazdict
аузымен жарылқады	kazdict
аузымен жүретін	kazdict
аузымен орақ орды	kazdict
аузымен орақ орған	kazdict
аузымен құс тістеген	kazdict
аузымен құс ұстап отыр	kazdict
аузын [аузы-басын	kazdict
аузын алды	kazdict
аузын алды-	kazdict
аузын анқитты	kazdict
аузын арандай ашты	kazdict
аузын ауыртты	kazdict
аузын ашпады	kazdict
аузын ашса	kazdict
аузын ашты	kazdict
аузын аштырмады	kazdict
аузын ашып	kazdict
аузын ашып қалды	kazdict
аузын ашырды	kazdict
аузын ашырмады	kazdict
аузын ашқан айдаһардай	kazdict
аузын ағартты	kazdict
аузын аңду	kazdict
аузын аңдыды	kazdict
аузын аңқайтты	kazdict
аузын аңқитты	kazdict
аузын басса	kazdict
аузын басты	kazdict
аузын бақадай ашырды	kazdict
аузын бақты	kazdict
аузын буды	kazdict
аузын буған өгіз	kazdict
аузын буған өгіздей [өгіз сияқты	kazdict
аузын бұзды	kazdict
аузын бұзу	kazdict
аузын бұрап сөйледі	kazdict
аузын жапты	kazdict
аузын жиде жегендей қылды	kazdict
аузын жиып үлгергенше	kazdict
аузын жыбырлатты	kazdict
аузын жұмды	kazdict
аузын күзетті	kazdict
аузын майлады	kazdict
аузын майландырды	kazdict
аузын сылп еткізді	kazdict
аузын тыйды	kazdict
аузын шиедей қылды	kazdict
аузын қайыстай керді	kazdict
аузын қайыстай созды	kazdict
аузын қан жалатты	kazdict
аузын қақты	kazdict
аузын қу шөппен сүртті	kazdict
аузын қыздырды	kazdict
аузын қышытты	kazdict
аузын құр шөппен сүртті	kazdict
аузын үлкен ашты	kazdict
аузын үріп	kazdict
аузын ұстады	kazdict
аузына [жанды	kazdict
аузына [нәр	kazdict
аузына алмады	kazdict
аузына ақ ит кіріп	kazdict
аузына берік	kazdict
аузына бұдыр салмау	kazdict
аузына дәм алмады	kazdict
аузына дәм алмады. ештеңе жемеді	kazdict
аузына ем қонбаған	kazdict
аузына жалт-жалт қарау	kazdict
аузына жалтаңдады	kazdict
аузына ие болды	kazdict
аузына келген жынын құсты	kazdict
аузына келгенін айтты	kazdict
аузына келгенін айтты [сандырақтады	kazdict
аузына маржан салу	kazdict
аузына не түссе	kazdict
аузына салды	kazdict
аузына су тамызды	kazdict
аузына су толтырып алғандай	kazdict
аузына су құйылды	kazdict
аузына су ұрттағандай	kazdict
аузына сөз салды	kazdict
аузына сөз түспеді	kazdict
аузына сөз тұрмайды	kazdict
аузына тас салды	kazdict
аузына тас салғандай	kazdict
аузына тосты	kazdict
аузына тыным жоқ	kazdict
аузына тілі сыймады	kazdict
аузына түкіріп қойғандай	kazdict
аузына түскенін оттады	kazdict
аузына түсті	kazdict
аузына төсеу	kazdict
аузына шайнап салды	kazdict
аузына шайнап түкірген	kazdict
аузына ілікті	kazdict
аузына қарады	kazdict
аузына қақпақ болды	kazdict
аузына қақпақ қойды	kazdict
аузына қолы жетті	kazdict
аузына құдай кірмеген	kazdict
аузына құдай салды	kazdict
аузына құм құйды	kazdict
аузына құм құйылды	kazdict
аузынан [тілінен	kazdict
аузынан ас айырмады	kazdict
аузынан ақ ит кіріп	kazdict
аузынан ақ май ағызды	kazdict
аузынан ақ май ақты	kazdict
аузынан бір елі тастамады	kazdict
аузынан бірауыз сөз есіте алмады	kazdict
аузынан дүр шашты	kazdict
аузынан дәмі кетпейді	kazdict
аузынан екі елі тастамады	kazdict
аузынан емшек дәмі кетпеген	kazdict
аузынан емшек сүті [дәмі	kazdict
аузынан жалын атты	kazdict
аузынан жалын атып тұр [жалыны шыққан	kazdict
аузынан жалын атып тұрған	kazdict
аузынан жалын шықты	kazdict
аузынан жалыны шықты	kazdict
аузынан жырып [берді	kazdict
аузынан жырып береді	kazdict
аузынан жырып әкетті	kazdict
аузынан мәйегі арылмаған [шығып тұрған	kazdict
аузынан мәйегі шығып тұрған	kazdict
аузынан мәйегі шыққан	kazdict
аузынан мәйегі шыққан [төгілген	kazdict
аузынан от бүріккен қанды балақ	kazdict
аузынан от бүрікті	kazdict
аузынан су ақты	kazdict
аузынан суы ақты	kazdict
аузынан суын ағызды	kazdict
аузынан сілекейі ақты	kazdict
аузынан сүті кеппеген	kazdict
аузынан сөзі	kazdict
аузынан сөзі түскен	kazdict
аузынан сөзін алды	kazdict
аузынан тастамады	kazdict
аузынан түскендей	kazdict
аузынан түспеді	kazdict
аузынан тәубесі [тобасы	kazdict
аузынан тәубесі кетпеген	kazdict
аузынан уыз сүті кеппеген [тамған	kazdict
аузынан шылым түспейді	kazdict
аузынан шықты	kazdict
аузынан шыққан сөз	kazdict
аузынан қара қан ағызды	kazdict
аузынан қара қанын ағызды	kazdict
аузынан қағынды	kazdict
аузынан қағып алды	kazdict
аузында [әркімнің	kazdict
аузында алласы жоқ	kazdict
аузында ақ тісі жоқ	kazdict
аузында дамыл жоқ	kazdict
аузында зарлы желі бар	kazdict
аузында шылауы бар	kazdict
аузындағы сөзін жұтып қойды	kazdict
аузындағысын алды	kazdict
аузындағысын жырып берді	kazdict
аузының даруы бар	kazdict
аузының дауасы жоқ	kazdict
аузының дуасы бар	kazdict
аузының дуасы жоқ	kazdict
аузының дуасы кетті	kazdict
аузының дәмі кетті	kazdict
аузының дәмі кетті. аузына еш нәрсе татымады	kazdict
аузының дәмін алды	kazdict
аузының ебі бар	kazdict
аузының желі бар	kazdict
аузының желімі күшті	kazdict
аузының салуы бар	kazdict
аузының суы құрыды	kazdict
аузың аққа тимегір	kazdict
аузың желдей еседі	kazdict
аузың қайсы десе	kazdict
аузың қарылғыр	kazdict
аузыңа алма	kazdict
аузыңа берік бол [мықты бол	kazdict
аузыңа май	kazdict
аузыңа тас	kazdict
аузыңа қара қан толғыр	kazdict
аузыңды ауыртпа	kazdict
аузыңды жап	kazdict
аузыңды тый	kazdict
аузыңнан қара қаның келгір	kazdict
аукцион ережелері	kazdict
аукциондық сауда	kazdict
аукциондық сауда-саттық	kazdict
аукциондық тауарлар	kazdict
аула i	kazdict
аула ii	kazdict
аулалық клуб	kazdict
аулақ болды	kazdict
аулақ жүр	kazdict
аулақ жүрді	kazdict
аулақ кет	kazdict
аулақ әкет	kazdict
аулы алыс	kazdict
аулы аралас	kazdict
аулына ат жайылатын кісі	kazdict
аулыңнан үрген иттің үні шықпағыр	kazdict
аума-төкпе заман [замана	kazdict
аума: аума адам	kazdict
аумай тартты	kazdict
аумалы күй	kazdict
аумалы-толқымалы мінез	kazdict
аумалы-төкпелі дүние	kazdict
аумалы-төкпелі дүние [өмір	kazdict
аумалы-төкпелі заман	kazdict
аумалы-төкпелі заман [кезең	kazdict
аумалы-төкпелі мінез	kazdict
аумасып келу	kazdict
аумақтарды аймақтарға бөлу	kazdict
аумақтық бөлік	kazdict
аумақтық су	kazdict
аумақтық қорғаныс	kazdict
аунап тұрды	kazdict
аунап-қунап жатты	kazdict
аунап-қунап қайтты	kazdict
аунақ 1	kazdict
аунақ 2	kazdict
ауру /25	kazdict
ауру [науқас	kazdict
ауру бақты	kazdict
ауру биледі	kazdict
ауру ерегісіп кетеді	kazdict
ауру жабысты	kazdict
ауру жандай	kazdict
ауру кісіні қожа-молдаға үшкіртті	kazdict
ауру көрді	kazdict
ауру меңдеді [күшейді	kazdict
ауру ошағы	kazdict
ауру туындатушылар	kazdict
ауру қоздырушы	kazdict
ауру-сырқаудан мемлекеттік сақтандыру жүйесі	kazdict
ауру-сырқаулы болды	kazdict
аурудай аузын ашу	kazdict
аурудан тұрғандай	kazdict
ауруды болу	kazdict
аурудың беті қайтты	kazdict
аурудың емі	kazdict
аурудың жасырын кезеңі	kazdict
аурудың жасырын мерзімі	kazdict
аурудың сөзі	kazdict
аурулы болды	kazdict
ауруханада емделуге арналған жәрдемақы	kazdict
ауруханалық қағаз	kazdict
ауруханаға жату шығындарын өтеу	kazdict
ауруханаға түсті	kazdict
ауруын меңдетті	kazdict
ауруын қаратты	kazdict
ауруына ем қонбады	kazdict
ауруға ауру жамады	kazdict
ауруға шалдықты [ұрынды	kazdict
аусал 1	kazdict
аусал 2	kazdict
аусар 1	kazdict
аусар 2	kazdict
аусар мінез	kazdict
аусар ой	kazdict
аусар үміт	kazdict
аусарлан 1	kazdict
аусары ауды	kazdict
аусыл болғыр	kazdict
аусыл келгір	kazdict
аусыл сиырдай	kazdict
аутогенді машықтандыру	kazdict
аутогенді тәсіл	kazdict
ауы атқа тиді	kazdict
ауыз /101	kazdict
ауыз айбанасы	kazdict
ауыз алу	kazdict
ауыз ашар	kazdict
ауыз ашпады	kazdict
ауыз ашты	kazdict
ауыз аштырмады	kazdict
ауыз аштыру	kazdict
ауыз ашу	kazdict
ауыз байлық	kazdict
ауыз байлық жасады	kazdict
ауыз бақты	kazdict
ауыз баққыш	kazdict
ауыз бекітті	kazdict
ауыз бекіту	kazdict
ауыз бірлену	kazdict
ауыз біріктірді	kazdict
ауыз бөлме	kazdict
ауыз дос	kazdict
ауыз жаласты	kazdict
ауыз жаласу	kazdict
ауыз жаппады	kazdict
ауыз жаппады [жимады	kazdict
ауыз жаппас	kazdict
ауыз жаритын	kazdict
ауыз жармаған құнан	kazdict
ауыз жарымады	kazdict
ауыз жарытпады	kazdict
ауыз жарытып айтар	kazdict
ауыз жерінде	kazdict
ауыз жиды	kazdict
ауыз жимады	kazdict
ауыз жимай [жимады	kazdict
ауыз жиғанша	kazdict
ауыз жиғанша [жимай	kazdict
ауыз жиғызбады	kazdict
ауыз жылытты	kazdict
ауыз кепті	kazdict
ауыз кергіш	kazdict
ауыз күлдіреуі	kazdict
ауыз лемісі	kazdict
ауыз омыртқа	kazdict
ауыз от	kazdict
ауыз салды	kazdict
ауыз салдырды	kazdict
ауыз сөз	kazdict
ауыз там	kazdict
ауыз тамыр	kazdict
