# form	track	verbal-weight	nominal-weight — tools/tracks.py
# for entries with no part of speech. An entry not listed here keeps
# both tracks, because the books do not say which one it is on.
кердеңдік	n	0	5
кердір	v	4	0
кердірт	v	2	0
керегі	n	0	89
керейіт	n	0	6
керексін	v	35	0
керексіт	v	8	0
керем	v	177	0
керен	n	0	5
керзі	n	0	2
керкі	n	0	4
керкілдес	v	6	0
кернейші	n	0	17
кернет	v	14	0
керсең	n	0	2
керти	v	3	0
кертпештен	v	3	0
керуендет	v	3	0
керуенсарай	n	0	16
кершеуле	v	3	0
керіз	n	0	2
керілдес	v	111	0
керіліп	v	8	0
керіскен	n	0	4
керістір	v	4	0
керісу	n	4	11
керіш	n	6	9
кесекте	v	18	0
кесектей	v	2	0
кесектен	v	3	0
кесертке	n	0	2
кескек	v	59	4
кескі	n	0	344
кескіз	v	25	0
кескілен	v	32	0
кестелен	v	115	0
кестелену	n	0	2
кестелеп	v	4	0
кестелер	n	20	73
кестем	n	0	3
кестен	n	0	93
кестесі	n	0	66
кестесін	n	0	31
кестеу	n	0	4
кестір	v	151	2
кестірт	v	2	0
кесу	n	41	247
кесімдер	n	0	4
кесінділер	n	4	21
кесіп	v	77	4
кесірлен	v	31	0
кесіс	v	84	2
кетеді	n	0	11
кетен	n	0	8
кетер	n	74	738
кететін	n	35	524
кететіндігін	n	0	9
кеткен	n	343	3651
кетпе	v	2566	230
кетпеуі	n	0	13
кетсе	n	0	5
кетті	n	0	53
кетч	v	2	0
кетім	v	72	14
кетіп	v	1639	69
кетіру	n	6	72
кетісу	n	2	13
кеуделеу	v	2	0
кеукер	n	0	2
кеуіс	n	0	2
кеч	v	8	2
кешенд	n	31	167
кешенін	n	0	35
кешеуілдету	n	0	10
кешкен	n	22	293
кешкіру	n	0	4
кешпейтін	n	0	2
кештет	v	201	0
кештір	v	62	3
кешуін	n	0	5
кешігу	n	8	83
кешіктіріл	v	21	0
кешіктірілмей	v	2	0
кешілдік	n	0	2
кешірме	v	109	13
кешірт	v	9	0
кешіріл	v	137	0
кешірімсіз	n	0	4
кешірімшіл	n	0	6
кешіріс	v	8	0
кеще	n	0	65
кею	n	3	22
кеңейтілу	n	0	14
кеңест	n	291	463
кеңесу	n	7	73
кеңесшіл	v	52	0
кеңесшілері	n	0	37
кеңесшісі	n	0	12
кеңесі	n	0	448
кеңесіл	v	3	0
кеңесін	n	0	161
кеңею	n	4	117
кеңк	v	4	0
кеңки	v	3	0
кеңкілдеп	v	2	0
кеңкілдес	v	2	0
кеңіген	n	0	7
кеңіл	n	0	49
кеңірдектес	v	10	0
кеңірдектет	v	2	0
кеңістіктік	n	0	7
киген	n	19	562
кигізіл	v	105	0
киелеу	n	2	4
киелілік	n	12	24
киеңкі	n	0	2
кикбоксинг	n	2	4
киловат	n	0	12
киловольт	n	0	2
киль	n	2	11
килікпе	v	15	0
киліктір	v	21	0
киме	v	192	20
кимелес	v	11	0
кимелет	v	5	0
кимелеу	n	0	5
кимоно	n	0	7
кинайа	n	0	2
кинематика	n	0	2
кинетика	n	0	11
киниктер	n	0	6
кинооператор	n	0	4
кинорежиссер	n	0	11
киносценарий	n	2	15
кинотаспа	n	0	4
киношы	n	0	7
кип	v	7	3
киреналықтар	n	0	2
китаб	v	7	4
китт	v	25	15
китің	n	0	4
кишк	v	3	0
кию	n	43	280
киізден	v	4	0
киіл	v	118	0
киімді	n	0	27
киімсіз	n	0	2
киімілгіш	n	0	4
киіну	n	17	126
киіп	v	191	2
киіс	n	41	86
ккен	n	0	15
клавиш	n	6	9
классигі	n	0	16
кластық	n	0	4
клеенка	n	0	22
клише	n	0	8
клубтары	n	0	9
книжка	v	9	4
кнопка	n	18	51
княздік	n	0	3
кобзарь	n	0	6
кобра	n	0	4
кобура	n	0	2
кодексі	n	0	62
кодификациялан	v	3	0
кодтары	n	0	8
коды	n	0	11
кодын	n	0	2
койка	n	2	28
колхоздан	v	4	0
колхоздарын	n	0	14
колхоздық	n	0	2
колхозшылар	n	32	174
колхозы	n	0	170
командалар	n	0	21
командалары	n	0	10
командашы	n	0	25
командирлік	n	3	6
комендант	n	25	127
комиссарлық	n	2	8
комиссиялар	n	3	61
комиссиясы	n	0	200
комитеті	n	0	476
комитетіндегі	n	0	3
коммиссар	n	0	2
коммунар	n	0	18
коммунитас	n	0	4
компендиум	n	0	3
компенсация	v	3	2
компетенция	n	0	2
комплимент	n	0	6
композиторы	n	0	14
компромисс	n	3	9
кон	n	10	18
конвертор	n	0	2
кондиция	n	0	3
конкурстар	n	0	18
консалтинг	n	0	3
консенсус	n	6	25
консервациялау	n	2	3
консервіле	v	6	0
консервілен	v	12	0
консервілер	n	5	8
консервілеу	v	2	0
консолидация	n	0	4
конструкцияла	v	15	0
консулдық	n	2	10
консультанттар	n	0	2
консультативт	n	0	2
контейнерлер	n	0	6
контрабандист	v	3	0
контрфорс	n	0	2
контузия	n	0	18
конферансье	n	0	4
конфигурациясы	n	0	6
конфискеле	v	25	0
конфискелеу	n	0	7
концепт	n	6	16
концептуализм	n	0	2
концепция	n	70	258
кооператор	n	0	4
кооперацияла	v	7	0
кооперациялау	n	0	2
координат	n	5	49
координациялан	v	2	0
корма	n	0	2
королева	n	0	62
корректура	v	10	4
коси	n	0	2
космополит	n	0	47
косяк	v	9	0
котлет	n	10	21
коттедж	n	6	69
кофейник	v	4	0
кох	n	0	4
коэффициенттер	n	2	4
кпес	n	0	3
крахмалда	v	7	0
кредитор	n	3	13
крем	n	7	11
крепостник	n	0	18
крепостнойлық	n	0	4
кресшілер	n	0	5
кристалдану	n	0	11
критериум	n	0	3
крокодил	n	3	13
кромлех	n	0	2
крюк	v	2	0
кс	n	0	9
кт	v	70	19
ктер	n	5	57
ктерд	n	0	5
ктеу	n	0	13
кубогы	n	0	3
кубогын	n	0	2
кубометр	n	0	2
кувада	n	0	2
кузов	n	8	47
кула	n	0	21
кулак	n	22	92
куллият	n	0	2
кулуар	n	0	2
кулфат	n	0	2
кун	n	12	51
курант	n	0	5
куратор	n	4	6
курортшы	n	0	4
кухня	n	5	71
куһ	n	0	2
куә	n	12	1199
куәландырған	n	0	5
кэт	v	2	0
кібіртік	n	0	14
кібіртіктен	v	2	0
кібіртіктет	v	3	0
кіди	v	2	0
кіділен	v	4	0
кідірту	n	0	20
кідірісте	v	17	0
кіжін	v	473	0
кіжіну	n	2	28
кіжіңде	v	7	0
кілби	v	15	2
кілбит	v	3	0
кілегейлен	v	38	0
кілет	n	9	25
кілк	v	108	0
кілкі	v	89	4
кілкілде	v	18	0
кілми	v	26	0
кілти	v	2	0
кілтипан	n	12	44
кілтте	v	21	0
кілттен	v	20	0
кілті	n	0	57
кілтілде	v	2	0
кілтің	v	23	0
кім	n	1247	5856
кімге	n	0	4
кімсен	n	0	3
кімі	n	0	17
кіндігі	n	0	49
кіндігін	n	0	50
кінә	n	328	1114
кінәлан	v	7	0
кінәлас	v	44	0
кінәластыр	v	2	0
кінәлау	n	12	225
кінәлы	n	0	7
кінәмшілдік	n	0	5
кінәратта	v	2	0
кінәрәт	n	0	2
кірбең	n	12	33
кірбеңде	v	4	0
кірбеңдік	v	2	0
кірби	v	18	0
кірбіңде	v	6	0
кірген	n	19	1005
кіргізу	n	28	182
кіргізіс	v	2	0
кірді	n	0	14
кірекеш	n	2	22
кірент	n	0	4
кіреует	n	0	2
кіреукеле	v	15	0
кіреукелен	v	40	0
кіреш	n	0	27
кіржи	v	84	9
кіржит	v	51	0
кіржіңдес	v	6	0
кіржіңдет	v	3	0
кірлеу	n	0	10
кірме	v	692	73
кірне	n	2	3
кірпияздан	v	6	0
кірпияздық	n	0	6
кірпікшешен	n	0	6
кірсін	n	0	2
кірти	v	136	2
кіртит	v	2	0
кіртік	n	0	2
кіртілдет	v	3	0
кіруші	n	0	13
кірхана	n	0	2
кірші	n	0	2
кіршілдет	v	3	0
кірік	v	67	0
кіріктір	v	56	0
кіріктіру	n	2	13
кіріп	n	202	364
кіріске	n	3	64
кіріспесі	n	0	12
кірістері	n	0	11
кірісті	n	0	6
кірістіріл	v	12	0
кірістің	n	0	5
кірісу	n	26	250
кірісіл	v	10	0
кірісін	n	0	4
кісендел	v	49	0
кісендет	v	2	0
кісендеу	n	0	4
кісия	n	0	2
кісікиік	n	0	2
кісікиіктен	v	10	0
кісімсі	v	19	0
кісімсін	v	53	0
кісімсіну	n	2	4
кісімсіт	v	3	0
кісінет	v	56	0
кісінеу	n	3	21
кісәпір	n	4	24
кісәпірлік	n	3	11
кітаби	n	0	2
кітабы	n	0	431
кітабындағы	n	0	2
кітаптан	v	3	0
кітапшасы	n	0	25
кітапшыла	v	2	0
кітапқұмар	n	0	8
кітапқұмарлық	n	0	2
кітірлет	v	2	0
кіш	n	0	1591
кішт	n	0	2
кішік	n	2	26
кішілеу	n	0	5
кішір	v	34	3
кішірейту	n	2	15
кішірею	n	0	17
кішірту	n	0	2
күбін	n	14	33
күбірлес	v	220	0
күбірлеу	n	0	16
күд	v	751	0
күдіктену	n	7	68
күдікшіл	n	0	9
күдірей	v	126	10
күдірейт	v	58	0
күдіс	v	2	0
күдістен	v	7	0
күж	n	2	5
күжіл	n	0	3
күжілде	v	34	0
күжілдес	v	16	0
күжілдет	v	9	0
күжірей	v	122	5
күжірейт	v	48	0
күзде	v	12	0
күздеу	n	0	19
күзей	v	10	2
күзек	n	3	63
күзел	v	89	0
күзем	n	7	13
күзес	n	0	2
күзеттір	v	106	3
күзеттіру	n	0	3
күзету	n	22	121
күзетуші	n	0	18
күзетшілік	n	0	9
күзетіл	v	21	0
күзетіс	v	11	0
күзеуші	n	0	2
күйбекте	v	2	0
күйбең	n	17	187
күйбеңде	v	51	0
күйбеңдес	v	13	0
күйбеңдет	v	2	0
күйбеңдеу	n	0	2
күйгелекте	v	13	0
күйгелектен	v	58	0
күйгіз	v	54	8
күйді	n	0	2
күйек	n	5	60
күйелен	v	7	0
күйелеу	n	0	2
күйелеш	n	0	2
күйелі	n	0	2
күйеусін	v	5	0
күйеушіле	v	2	0
күйеуі	n	0	735
күйзелу	n	6	60
күйзелушілік	n	0	3
күйзеу	n	0	9
күйзеушілік	n	0	4
күйлен	v	62	2
күйлендір	v	15	0
күйлер	n	118	553
күйлерд	n	0	118
күйлет	v	11	0
күймеле	v	5	0
күйректен	v	6	0
күйреуік	n	2	5
күйсе	v	29	0
күйсет	v	3	0
күйсіз	n	2	10
күйсізден	v	3	0
күйт	n	2	29
күйтте	v	139	0
күйттел	v	3	0
күйшіл	v	130	0
күйі	n	31	606
күйікті	n	0	8
күйіндір	v	69	0
күйіну	n	2	35
күйінің	n	0	3
күйіп	v	14	0
күлайша	n	0	4
күлбілте	n	0	16
күлбілтелен	v	5	0
күлбірет	v	5	0
күлгіз	v	42	0
күлгінден	v	9	0
күлден	v	5	0
күлдібадамдан	v	2	0
күлдіре	v	77	0
күлдірет	v	10	0
күлдірле	v	9	0
күлдірлет	v	5	0
күлдіру	n	2	36
күлдіріп	v	14	0
күлегеш	n	0	21
күлегештік	n	0	3
күледі	n	0	2
күлер	n	4	123
күлетін	n	17	53
күлкілде	v	7	0
күлкішіл	n	0	6
күлкішілдік	v	2	0
күлмең	n	0	23
күлмеңде	v	12	0
күлпара	v	3	0
күлпарша	n	9	14
күлтелендір	v	4	0
күлтілдет	v	3	0
күлу	n	44	272
күлік	n	10	107
күлім	n	10	191
күлімдет	v	28	0
күлімдеу	n	2	13
күлімсі	v	5	3
күлімсірет	v	2	0
күліп	v	108	0
күлісу	n	0	3
күлісіп	v	8	0
күләнда	n	5	58
күмбезде	v	8	0
күмбір	n	4	44
күмп	v	6	0
күмпи	v	80	2
күмпит	v	3	0
күмпіл	n	0	4
күмпілдес	v	3	0
күмпілдет	v	30	0
күмпілдеу	n	0	2
күмілжу	n	0	2
күмілжіт	v	10	0
күмісте	v	58	0
күмістел	v	48	0
күмістет	v	8	0
күмісті	n	0	2
күмәндану	n	14	103
күмәншыл	v	2	0
күнаһ	v	23	6
күнбағар	n	0	7
күндегі	n	21	175
күндей	v	93	2
күндер	n	501	3944
күндеу	n	5	35
күнді	n	0	2
күндүз	n	0	2
күнелту	n	7	78
күнсі	v	20	0
күнсіз	n	0	18
күнт	v	36	0
күнтай	n	3	11
күнтимес	n	0	6
күншілік	n	2	36
күні	n	0	679
күнікей	n	21	51
күнін	n	2	1160
күнә	n	377	1871
күнәкарлық	n	2	13
күнәла	v	4	0
күнәлы	n	0	2
күнәлылық	v	2	0
күнәсыз	n	2	8
күнәһар	n	15	151
күпи	v	6	0
күпит	v	3	0
күпсек	v	3	0
күпсі	v	2	0
күпсін	v	44	0
күпсіт	v	2	0
күпте	v	25	3
күптей	v	3	0
күптел	v	44	0
күптет	v	3	0
күпті	n	2	7
күптілік	n	0	2
күпіл	n	0	28
күпілдек	n	0	8
күпілдес	v	14	0
күпілдет	v	2	0
күпін	v	82	20
күпіну	n	2	4
күпәй	n	0	39
күр	n	118	525
күрби	v	6	0
күрде	v	2	0
күрдек	n	0	2
күрдел	n	0	915
күрделен	v	125	0
күрделену	n	0	25
күрегейле	v	2	0
күрел	v	8	0
күрескен	n	8	119
күрескерлік	n	2	12
күрестері	n	0	20
күрестір	v	73	0
күресі	n	0	216
күресін	n	8	226
күреш	n	0	13
күреңден	v	57	0
күреңіт	v	268	0
күржеңде	v	2	0
күржи	v	37	3
күржит	v	2	0
күржік	n	2	6
күрзі	n	24	110
күрк	v	10	0
күркеле	v	3	0
күркелен	v	3	0
күркешік	n	0	10
күркіл	n	2	12
күркілдек	n	3	10
күркілдет	v	5	0
күркір	v	134	72
күркіреме	n	0	6
күркірес	v	16	0
күркіреуік	n	2	6
күрле	v	5	0
күрмек	n	3	10
күрмел	v	347	2
күрмеле	v	24	0
күрмелу	n	0	2
күрметіл	v	3	0
күрп	v	5	0
күрпілдет	v	13	0
күрси	v	2	0
күрсіл	n	0	12
күрсілдет	v	17	0
күрсіндір	v	50	2
күрсінт	v	35	0
күрсіну	n	11	100
күрсініс	n	29	133
күртілдет	v	8	0
күршім	n	0	13
күріл	n	0	3
күрілде	v	33	2
күрілдес	v	9	0
күрілдет	v	9	0
күріштік	v	2	0
күрішші	n	0	9
күсе	v	2	0
күстанала	v	14	0
күстен	v	35	0
күткен	n	14	523
күткендер	n	0	42
күткіз	v	31	0
күтсең	n	0	7
күттір	v	359	5
күтілген	n	0	3
күтімділік	v	2	0
күтімсіздік	n	0	8
күтімін	n	0	10
күтін	v	179	0
күтіну	n	0	11
күтіп	v	70	0
күтір	n	0	5
күтіс	v	38	4
күч	n	0	2
күша	n	0	4
күшала	n	0	3
күшейте	v	155	0
күшейтіл	v	121	0
күшейтіп	v	2	0
күшену	n	0	10
күшеншек	n	0	3
күшею	n	0	156
күштен	v	12	0
күштер	n	203	959
күштеу	n	8	41
күші	n	105	1319
күшіген	n	3	54
күшікте	v	37	0
күшіктей	v	16	0
күшіктет	v	5	0
күшіктеу	n	0	5
күшім	v	218	94
күшін	n	0	225
күшәлә	n	0	2
күю	n	3	38
күңгір	n	4	22
күңгірле	v	68	6
күңгірлет	v	10	0
күңгірттен	v	156	0
күңдік	n	4	81
күңк	v	183	0
күңкілдес	v	150	0
күңкілдеу	n	0	9
күңшілік	n	2	6
күңірент	v	418	6
күңірену	n	0	31
кә	n	48	612
кәдірле	v	3	0
кәй	v	22	7
кәке	n	0	4
кәлла	n	12	31
кәм	v	786	0
кәмпескелеу	n	3	15
кәмілдік	n	5	8
кәниз	n	0	8
кәпер	n	0	36
кәрд	n	0	20
кәресін	n	4	8
кәрзеңке	n	3	26
кәрзіңке	n	0	3
кәрлік	n	0	7
кәрсен	n	0	4
кәртеміш	n	2	3
кәртөш	n	0	3
кәрің	v	26	2
кәсібі	n	0	184
кәуіп	v	2	0
кәфарат	v	2	0
кәшиш	n	0	2
көб	n	0	1157
көбейген	n	0	97
көбеле	v	7	0
көбею	n	10	219
көбеңден	v	4	0
көбеңсі	v	6	0
көбі	n	94	884
көбіктендір	v	3	0
көбін	n	2	297
көбісі	n	0	86
көг	n	33	319
көгалдан	v	3	0
көгалдандыр	v	42	0
көгалдандыру	n	3	15
көгалдандырыл	v	8	0
көгалдандырылу	n	0	2
көгендел	v	71	0
көгендет	v	11	0
көгендеу	n	2	4
көгенкөз	n	0	5
көгерт	v	216	4
көгеру	n	2	8
көгеріп	v	7	0
көгілжімден	v	4	0
көгіс	n	0	25
көгістен	v	16	0
көделі	n	0	6
көжекте	v	2	0
көжелік	n	0	2
көзайым	n	0	6
көздеген	n	3	229
көздейтін	n	0	48
көзделген	n	0	7
көзделед	n	0	53
көзделмеген	n	0	2
көзделу	n	0	27
көзделіп	v	2	0
көзден	v	97	0
көздер	n	134	2003
көздерд	n	0	134
көздері	n	0	745
көздерін	n	3	256
көздес	v	13	0
көздестір	v	5	0
көздеу	n	7	123
көзеш	n	0	2
көзі	n	0	2682
көзіктір	v	2	0
көзілдірік	v	157	88
көзін	n	22	879
көзқарастар	n	143	691
көзқарастарын	n	0	56
көзқарасы	n	0	351
көзқарасын	n	0	132
көйлекті	n	0	8
көйт	v	4	0
көйіту	n	0	5
көкбет	n	0	9
көкбеттен	v	10	0
көкбөрі	n	0	58
көкейтест	n	0	162
көкейіндегі	v	45	14
көкеле	v	7	2
көкемарал	n	0	5
көкен	n	8	30
көкеш	n	0	93
көкжендет	n	4	7
көки	v	38	2
көккеп	n	0	4
көкмайса	n	0	28
көкмойнақ	n	5	16
көкнар	n	0	5
көкорай	n	7	67
көкпаршы	n	0	23
көкпаршыл	v	17	0
көкпек	v	58	33
көкпекті	n	0	21
көкпер	v	2	0
көксау	n	2	13
көксеген	n	4	121
көксет	v	13	0
көксеу	n	2	48
көктел	v	9	0
көктемі	n	0	50
көктеп	v	5	0
көктет	v	31	0
көкторғай	n	0	2
көку	n	0	2
көкши	v	12	0
көкшілден	v	19	0
көкшұбар	v	7	0
көкі	v	31	9
көкіме	n	0	2
көкір	n	0	2
көкірегі	n	0	137
көкіректе	v	5	0
көкіректен	v	9	0
көкіректік	n	3	11
көкіт	v	8	0
көлбай	n	7	41
көлбей	v	35	0
көлбектет	v	2	0
көлбет	v	32	3
көлбең	n	0	4
көлбеңдет	v	29	0
көлбеңдеу	n	0	4
көлгір	n	5	51
көлгірлен	v	2	0
көлгірсу	n	15	46
көлденеңдет	v	20	0
көлдет	v	97	0
көлдету	n	0	5
көле	v	4	0
көлегей	n	0	7
көлегейлен	v	34	0
көлегейлеу	n	0	15
көлемден	v	8	0
көлемдер	n	5	57
көлемдері	n	0	14
көлемі	n	0	204
көлемін	n	0	418
көлеңде	v	41	0
көлеңдет	v	16	0
көлеңкел	n	163	301
көлеңкелен	v	48	0
көлеңкелет	v	3	0
көлеңкелеу	n	0	5
көлкілдет	v	5	0
көлкіт	v	6	0
көлшімек	n	0	3
көлігін	n	0	7
көліктік	n	0	5
көмбек	n	0	5
көмгіз	v	6	0
көмег	n	0	685
көмегі	n	0	806
көмейлет	v	11	0
көмект	n	36	173
көмектер	n	6	42
көмескіле	v	78	0
көмескілен	v	162	0
көмескілендірд	n	0	3
көмеш	n	2	13
көмкеру	n	2	10
көмкерілген	n	0	4
көмпи	v	18	0
көмпіс	n	2	3
көму	n	24	239
көмілт	v	2	0
көмілу	n	0	19
көміп	v	50	0
көміс	v	11	0
көнбісті	n	0	2
көнді	n	0	131
көндіру	n	16	143
көнек	n	16	47
көнелен	v	6	0
көнермес	n	0	3
көнерт	v	4	0
көнеру	n	0	4
көнетін	n	0	5
көнсадақ	n	2	3
көнтерілен	v	2	0
көнти	v	22	0
көну	n	7	243
көні	n	2	10
көпен	n	0	15
көпсі	v	12	2
көпсін	v	124	16
көпсіт	v	15	0
көптей	v	2	0
көптес	v	12	0
көпті	n	0	7
көптілділік	n	0	2
көптір	v	18	3
көпш	v	152	0
көпше	n	0	13
көпшелену	n	0	6
көпшіл	n	3	28
көпшілдік	n	0	5
көпшілігі	n	0	321
көпіре	v	13	0
көпірт	v	99	0
көпіру	n	2	6
көпірше	n	0	8
көпірші	v	52	4
көпірік	n	0	5
көпірін	n	0	27
көрбала	n	0	4
көрбілтелен	v	2	0
көргені	n	0	155
көргіз	v	126	2
көрді	n	2	36
көрдің	n	0	363
көре	v	2265	972
көреді	n	0	5
көрем	n	0	2
көресі	n	28	191
көрк	n	0	773
көркейт	v	317	2
көркейту	n	12	79
көркейтіл	v	2	0
көркейіп	v	3	0
көркемдел	v	71	0
көркемден	v	3	0
көркемдет	v	3	0
көркемділік	n	0	11
көркемөнерпаз	n	0	81
көркемөнерпаздық	n	2	4
көрмеген	n	144	623
көрмейсің	n	0	84
көрмесі	n	0	25
көрнектілік	n	2	4
көрпеш	n	34	79
көрпеше	n	7	59
көрсе	n	2	1664
көрсете	v	1312	66
көрсететін	n	11	105
көрсетк	n	16	95
көрсеткен	n	46	646
көрсеткіз	v	4	0
көрсеткіштер	n	36	217
көрсеткіштері	n	0	40
көрсеткіштерін	n	0	4
көрсеткіші	n	0	34
көрсетпе	v	738	71
көрсетпек	n	0	34
көрсетт	n	0	1675
көрсетті	n	0	4
көрсеттір	v	7	0
көрсету	n	314	2028
көрсетуд	n	0	314
көрсетіле	v	372	0
көрсетілуі	n	0	13
көрсетіліп	v	45	0
көрсетіп	v	188	0
көрсетіс	v	27	0
көріксізден	v	2	0
көріктей	v	2	0
көріктен	v	36	0
көріктендір	v	40	0
көріктендіру	n	0	5
көріл	v	72	0
көрім	n	95	158
көрінбек	n	0	8
көрінбес	n	2	69
көрінген	n	182	1568
көріне	v	2470	112
көрінеді	n	0	5
көрінер	n	0	107
көрінеу	n	0	4
көрініп	v	224	0
көріністен	v	6	0
көріністері	n	0	155
көріністерін	n	0	60
көрінісі	n	0	217
көріп	v	668	20
көрістір	v	50	0
көрқап	n	0	4
көсел	v	7	0
көселе	v	17	0
көсемдік	n	6	31
көсемсу	v	2	0
көсемсі	v	14	0
көсемсін	v	3	0
көсемсөз	n	4	27
көсемсөзші	n	0	5
көсет	v	7	0
көст	n	0	2
көсте	n	0	2
көстеңде	v	9	3
көсти	v	14	3
көстит	v	3	0
көсі	n	2	19
көсік	n	2	5
көсілдір	v	11	0
көсіле	v	71	0
көсілт	v	101	0
көсілу	n	8	17
көсіліс	n	0	2
көсір	n	0	2
көтен	n	6	28
көтерген	n	25	592
көтергіз	v	15	0
көтерем	n	8	27
көтеретін	n	0	37
көтермеу	n	4	21
көтермеші	n	0	14
көтерт	v	212	4
көтерілмеген	n	0	7
көтерілмек	n	0	2
көтерілу	n	31	434
көтеріліп	v	67	0
көтеріп	v	119	0
көтеріс	v	218	4
көткеншекте	v	5	0
көшбасы	n	0	7
көшелері	n	0	149
көшелі	n	0	9
көшен	n	4	411
көшер	n	0	123
көшесін	n	0	297
көшпел	n	0	684
көшпенділік	n	13	33
көші	n	0	175
көшік	n	0	9
көшіп	v	107	0
көшіргі	n	0	5
көшірлік	n	0	4
көшірмелері	n	0	18
көшірмелерін	n	0	7
көшірмесі	n	0	24
көшірмесін	n	0	23
көшірт	v	69	0
көшіру	n	50	236
көшіріл	v	496	0
көшіріс	v	16	0
көңілден	v	576	3
көңілдендір	v	104	0
көңілдену	n	0	11
көңілдестік	n	2	6
көңілсіздендір	v	3	0
көңілі	n	0	697
көңірсу	n	0	2
көңірсі	v	60	8
көңірсіт	v	40	0
көңүл	n	0	2
лаб	n	0	2
лав	n	2	24
лаг	v	17	9
лагерлер	n	0	31
лажда	v	4	0
лаждау	n	0	4
лайка	n	0	6
лайла	v	40	4
лайландыр	v	3	0
лайлану	n	0	3
лайлат	v	3	0
лайлату	n	0	3
лайыт	v	12	0
лайықтат	v	2	0
лактал	v	18	0
лампас	n	5	13
лапке	n	3	26
лапылда	v	282	10
лапылдат	v	55	0
лапылдау	n	0	3
лапыр	v	8	0
ларын	n	0	10
ластан	v	87	0
латафат	n	0	2
латындан	v	2	0
латыштар	n	0	4
лаулат	v	138	0
лаулату	n	0	4
лаулау	n	0	6
лаух	n	6	19
лауылда	v	2	0
лауылдат	v	2	0
лаш	n	2	3
лаған	n	0	2
лағин	n	0	4
лағу	n	2	3
лағы	n	0	44
лағынетте	v	2	0
лақаб	n	0	77
лақапта	v	2	0
лақта	v	16	0
лақтырт	v	11	0
лақтыру	n	9	100
лақтырылу	n	0	4
лақтырып	v	19	0
лақылдат	v	36	0
лаққа	n	0	4
лаңда	v	3	0
лаңдат	v	2	0
лг	v	65	5
лген	n	0	50
лде	v	35	17
лден	v	4	0
лебі	n	0	218
левантин	n	0	5
левит	n	0	6
леген	n	133	262
легенда	n	7	30
легизм	n	0	5
легитимділік	v	3	0
лед	n	0	10
лей	n	8	23
лейборист	v	3	0
лекерле	v	5	0
лексикалан	v	7	0
лекциялар	n	13	67
лекілдет	v	13	0
лекіт	v	49	0
лепес	n	7	19
лепілдет	v	5	0
лепірт	v	25	0
лепіс	n	0	3
лер	n	17	138
лерд	n	0	14
лес	v	106	10
лет	v	48	28
леуші	n	0	2
либас	n	0	5
лигатура	n	0	4
лид	v	53	9
лидер	n	8	96
лизинг	n	0	6
лимиттер	v	2	0
линза	n	2	4
лира	n	4	35
литавра	n	0	2
литота	n	0	4
лмеген	n	0	10
лмеу	n	0	6
лобби	n	0	2
лоблы	v	38	3
лоблыт	v	16	0
логикасы	n	0	81
логицизм	n	0	2
логография	n	0	3
ложа	n	3	75
лот	n	8	15
лото	v	5	2
лоцман	n	0	13
лоқ	n	10	78
лоқсу	n	0	6
лоқсы	v	28	0
лоқсыт	v	10	0
лоқылдат	v	5	0
лыпы	v	22	0
лыпылда	v	31	3
лыпылдат	v	6	0
лық	v	53	33
лықсы	v	113	12
лықсыт	v	53	0
лықылдат	v	13	0
лықыт	v	7	0
люкс	n	2	11
люстра	n	0	64
лютня	n	2	16
лүп	v	106	0
лүпілде	v	92	0
лүпілдет	v	27	0
лүпілдеу	n	0	2
лә	v	18	0
ләззаттан	v	51	0
ләззаттану	n	3	14
ләйліт	v	3	0
ләйлә	n	0	27
ләмке	v	2	0
ләмәкән	n	0	2
ләп	n	0	28
ләтипа	n	0	4
ләхза	n	0	2
лөккебай	n	0	2
лөктір	n	0	6
ма	v	3269	689
мавзолей	n	9	76
мавр	n	6	36
маврлар	n	2	25
магия	n	3	163
магнет	n	0	2
магнитте	v	3	0
мадар	n	0	8
мадақтал	v	128	0
мадақталу	n	0	7
мадақтан	v	4	0
мадақтану	n	0	2
мадақтас	v	9	0
мадақтаушы	n	0	7
мади	v	9	0
мадиықтан	v	7	0
мажаз	n	0	2
мажара	n	2	5
мажырас	v	3	2
маз	v	181	42
мазалай	v	153	2
мазалан	v	39	0
мазалау	n	5	78
мазасыздандыр	v	50	0
мазасыздану	n	2	30
мазаттан	v	9	0
мазақтал	v	3	0
мазақтат	v	4	0
мазақтау	n	4	38
мазд	v	44	0
мазда	v	218	76
маздан	v	4	2
маздат	v	194	6
маздату	n	0	2
маздау	n	0	7
мазмұнда	v	36	2
мазмұндал	v	48	0
мазмұндау	n	0	27
мазмұны	n	0	303
мазмұнын	n	0	150
мазурка	n	0	22
майдала	v	21	0
майдалан	v	57	0
майдалат	v	8	0
майдалау	n	0	4
майданда	v	8	3
майлан	v	184	4
майландыр	v	6	0
майлану	n	0	2
майлар	n	12	23
майлат	v	14	0
майлаттыр	v	3	0
майлау	n	4	19
майлин	n	6	73
маймаңда	v	10	0
маймаңдат	v	2	0
майми	v	9	0
маймұн	n	4	17
майнұр	n	0	4
майпаңдат	v	2	0
майрыл	v	89	6
майсақтан	v	2	0
майшабақтар	n	0	2
майын	n	0	32
майырыл	v	97	2
майыстыру	n	0	2
майыстырыл	v	2	0
макан	n	0	2
макар	n	0	5
макаронизм	n	0	2
макрокосмос	n	2	3
макроэкономика	n	0	18
